"Location","Country","category_var","variable","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Chittagong","Bangladesh","DIRECT COMPARATORS","Total_Employment",1051.296,1083.023,1135.414,1164.045,1199.709,1242.404,1293.589,1347.273,1398.676
"Chittagong","Bangladesh","DIRECT COMPARATORS","Public_Services_Emp_Pct",0.241684359114845,0.246299570738572,0.246824594377029,0.248848455171407,0.252834895795564,0.260300272697126,0.265676888099698,0.266486153882695,0.267166305849246
"Chittagong","Bangladesh","DIRECT COMPARATORS","Industry_Emp_Pct",0.265265253553709,0.262168670471449,0.267260928612823,0.26897009995318,0.272641698945328,0.276959829491856,0.279662087417255,0.286830286066744,0.290168201928109
"Chittagong","Bangladesh","DIRECT COMPARATORS","Financial_Busines_Serices_Emp_Pct",0.0139996157124159,0.0135172106224891,0.0132802220159343,0.0128721140505736,0.0124806432226482,0.0120297584360643,0.011705425757331,0.0113596056626979,0.0111302045648885
"Chittagong","Bangladesh","DIRECT COMPARATORS","Consumer_services_Emp_Pct",0.291186497427937,0.289526168880993,0.285557778924692,0.283080035565635,0.278312407425467,0.271248724247507,0.266323538620072,0.26151514949086,0.257820824837203
"Chittagong","Bangladesh","DIRECT COMPARATORS","Agriculture_Emp_Pct",0.0337241937570389,0.0327265164267056,0.0308459469409396,0.0297238337005872,0.0282417402886867,0.0264622860196844,0.0248966325471228,0.0236909594417761,0.0227862492814633
"Chittagong","Bangladesh","DIRECT COMPARATORS","Transport_Information_Communic_Services_Emp_Pct",0.154140318235778,0.15576225066319,0.156230502706502,0.156505805187944,0.155488622657661,0.152999024471911,0.151735752236607,0.150117904834432,0.150928234987946
"Chittagong","Bangladesh","DIRECT COMPARATORS","Total_GVA",19372.47,20703.65,22107.39,23562.46,25249.51,27238.38,29422.36,31921.39,34719.95
"Chittagong","Bangladesh","DIRECT COMPARATORS","Agriculture_GVA_Pct",0.00551473818258591,0.00524717139248393,0.00501430517125721,0.00488929424177272,0.00469597627835154,0.00445892156581999,0.00423576830682515,0.00405745489153198,0.00392391118074767
"Chittagong","Bangladesh","DIRECT COMPARATORS","Consumer_services_GVA_Pct",0.313463280624515,0.309069705100308,0.305654805926887,0.303672282096182,0.299771005457136,0.294382411876184,0.290375313197174,0.285647022263128,0.281766361990729
"Chittagong","Bangladesh","DIRECT COMPARATORS","Financial_business_services_GVA_Pct",0.201437142501705,0.199410345518785,0.196579514813825,0.193409219580638,0.189909467550063,0.185497669097795,0.182113365481219,0.177677726439857,0.174744203260661
"Chittagong","Bangladesh","DIRECT COMPARATORS","Public_services_GVA_Pct",0.0745133687134372,0.0750414057424657,0.0752905250235329,0.0760490203484696,0.0775865353426661,0.0804613563655401,0.0824685375340387,0.0828384039667446,0.08307848945635
"Chittagong","Bangladesh","DIRECT COMPARATORS","Transport_Information_Communic_Services_GVA_Pct",0.1404951459468,0.143904625512893,0.144277818412757,0.144586431128159,0.144049013228376,0.142741859097347,0.142162321445323,0.140864636533685,0.141686177543458
"Chittagong","Bangladesh","DIRECT COMPARATORS","Agriculture_Productivity",3.01330649676441,3.06502984885552,3.16516155706035,3.32960114312535,3.49954415148869,3.69420428051958,3.86965973121166,4.05786167699359,4.27472609535189
"Chittagong","Bangladesh","DIRECT COMPARATORS","Consumer_services_Productivity",19.8369741332901,20.4069383075517,20.8410915462441,21.7143469292563,22.66909039069,23.7937332437192,24.798837896487,25.8796880104379,27.1289583863688
"Chittagong","Bangladesh","DIRECT COMPARATORS","Financial_business_services_Productivity",265.14498829304,282.013463620559,288.214715605944,304.143230119089,320.248191094186,338.064823475728,353.863522742357,370.591898194582,389.727991880546
"Chittagong","Bangladesh","DIRECT COMPARATORS","Industry_Productivity",13.9932686035867,14.5403925620926,14.3214177671709,14.5553961071668,14.659912372929,14.6838556681856,14.8111716963201,14.676894420771,14.9490958880753
"Chittagong","Bangladesh","DIRECT COMPARATORS","Public_services_Productivity",20.1726097658313,20.7485789027176,21.5500622484149,22.5638345321655,23.6396076462368,24.6324236289576,25.5671478456352,27.4656769246881,29.2493479030537
"Chittagong","Bangladesh","DIRECT COMPARATORS","Transport_Information_Communic_Services_Productivity",16.7959685795056,17.6612637904942,17.9811293205845,18.7002730269766,19.4979390600784,20.454135115258,21.3097215917572,22.2328773625487,23.3033822407137
"Chittagong","Bangladesh","DIRECT COMPARATORS","Total_GDP",6725.873,7174.823,7651.986,8148.819,8733.663,9416.836,10171.88,11035.84,12003.36
"Chittagong","Bangladesh","DIRECT COMPARATORS","GDP_per_capita_PPP",4.95315654097104,5.18032296145369,5.41583780245557,5.65367078623665,5.94052328682072,6.27652763072241,6.64416053890655,7.06609123302194,7.53041149704779
"Chittagong","Bangladesh","DIRECT COMPARATORS","GVA_per_capita",4.77015088695765,4.99811698360086,5.23169860722415,5.46600861803989,5.74242071041377,6.07029255246246,6.42584563963158,6.83391107910293,7.28297459597472
"Chittagong","Bangladesh","DIRECT COMPARATORS","POPTOTT",4061.186,4142.29,4225.662,4310.725,4397.015,4487.161,4578.753,4671.028,4767.276
"Chittagong","Bangladesh","DIRECT COMPARATORS","EMPTOTT",1051.296,1083.023,1135.414,1164.045,1199.709,1242.404,1293.589,1347.273,1398.676
"Chittagong","Bangladesh","DIRECT COMPARATORS","EMPO_Q",254.0818,266.7481,280.2481,289.6708,303.3283,323.3981,343.6767,359.0296,373.6791
"Chittagong","Bangladesh","DIRECT COMPARATORS","EMPB_F",278.8723,283.9347,303.4518,313.0933,327.0907,344.096,361.7678,386.4387,405.8513
